company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
51–200,1M–5M,Logistics provider,101–250,"Vans,Forklifts",2–5,Predictive,2,1449,Electrical issues,None,Heard of it,Complexity,Neutral,26–50%,Cost savings,10–20%,"Real-time health scores,Fuel efficiency analytics",Critical,Manual spreadsheet,6–10%,High,"Regulatory compliance,Customer satisfaction,Safety","Moderate cost, high reliability","Fuel efficiency,Downtime hours,Emission metrics",Yes
>1000,5M–20M,Logistics provider,251–500,"Forklifts,Vans,Electric vehicles (EVs)",2–5,Predictive,5,662,"Accidents,Battery/charging (for EVs)","ERP,None",Somewhat familiar,Other,Very unlikely,<10%,Uptime improvement,<10%,"Predictive alerts,Real-time health scores",Not important,Not tracked,6–10%,None,"Safety,Cost reduction,Sustainability","Lower cost, moderate reliability","Fuel efficiency,Emission metrics",Yes
501–1000,20M–100M,Other,25–100,"Trucks,Forklifts,Electric vehicles (EVs)",2–5,Reactive,3,1328,"Accidents,Mechanical failure","None,WMS",Heard of it,Not a priority,Neutral,26–50%,Sustainability goals,21–30%,Predictive alerts,Moderately important,In-house software,>10%,Essential,"Regulatory compliance,Uptime/reliability,Sustainability","Lower cost, moderate reliability","Repair costs,Fuel efficiency,Downtime hours",No
201–500,5M–20M,Logistics provider,101–250,"Delivery bikes,Forklifts,Electric vehicles (EVs),Trucks",2–5,Predictive,4,678,"Mechanical failure,Accidents,Electrical issues","TMS,ERP,None",Somewhat familiar,Data security concerns,Very unlikely,<10%,Regulatory compliance,21–30%,"Maintenance scheduling,Parts availability,Fuel efficiency analytics",Very important,Not tracked,>10%,Low,"Cost reduction,Sustainability,Uptime/reliability","Moderate cost, high reliability","Repair costs,Fuel efficiency",Maybe
51–200,20M–100M,Logistics provider,101–250,"Trucks,Vans",2–5,Preventive,4,1420,Mechanical failure,"ERP,WMS",Somewhat familiar,Other,Very likely,10–25%,Sustainability goals,>30%,"Sustainability/CO₂ reports,Predictive alerts",Very important,Manual spreadsheet,2–5%,Medium,"Sustainability,Cost reduction,Safety","Higher cost, maximum reliability",Downtime hours,Yes
51–200,5M–20M,Manufacturing,251–500,Electric vehicles (EVs),>10,Preventive,4,1232,"Battery/charging (for EVs),Mechanical failure",TMS,Heard of it,Lack of internal skills,Neutral,26–50%,Uptime improvement,>30%,Sustainability/CO₂ reports,Critical,Manual spreadsheet,<2%,None,"Regulatory compliance,Sustainability,Cost reduction","Moderate cost, high reliability","Delivery delays,Fuel efficiency",Maybe
<50,5M–20M,Logistics provider,>500,"Trucks,Vans,Forklifts,Electric vehicles (EVs)",>10,Predictive,5,1365,"Tire issues,Accidents","ERP,TMS,None",Very familiar,Complexity,Very likely,<10%,Uptime improvement,10–20%,Predictive alerts,Not important,In-house software,2–5%,Medium,"Cost reduction,Sustainability,Uptime/reliability","Moderate cost, high reliability",Emission metrics,Yes
>1000,20M–100M,Manufacturing,<25,Trucks,6–10,Predictive,4,741,"Tire issues,Accidents,Battery/charging (for EVs)","None,TMS",Not familiar,Not a priority,Very unlikely,<10%,Uptime improvement,>30%,Fuel efficiency analytics,Very important,Not tracked,6–10%,Essential,"Customer satisfaction,Sustainability,Uptime/reliability","Lower cost, moderate reliability",Fuel efficiency,Yes
201–500,1M–5M,Logistics provider,101–250,"Forklifts,Vans,Electric vehicles (EVs),Delivery bikes",2–5,Reactive,4,813,"Mechanical failure,Tire issues,Electrical issues",None,Not familiar,Lack of internal skills,Likely,<10%,Uptime improvement,10–20%,"Fuel efficiency analytics,Parts availability",Moderately important,Not tracked,>10%,Medium,"Safety,Sustainability,Uptime/reliability","Moderate cost, high reliability","Repair costs,Fuel efficiency",No
501–1000,5M–20M,Retail/E-commerce,<25,"Forklifts,Delivery bikes,Trucks,Electric vehicles (EVs)",6–10,Reactive,0,1451,"Accidents,Tire issues",WMS,Very familiar,Other,Neutral,<10%,Sustainability goals,<10%,"Maintenance scheduling,Real-time health scores",Slightly important,Manual spreadsheet,6–10%,Essential,"Safety,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Downtime hours,Emission metrics",Maybe
<50,1M–5M,Logistics provider,25–100,"Delivery bikes,Electric vehicles (EVs),Vans",>10,Preventive,4,949,"Accidents,Battery/charging (for EVs),Mechanical failure","ERP,None",Very familiar,Data security concerns,Neutral,<10%,Cost savings,>30%,Fuel efficiency analytics,Very important,Not tracked,2–5%,Essential,"Uptime/reliability,Customer satisfaction,Safety","Higher cost, maximum reliability","Fuel efficiency,Delivery delays,Downtime hours",Yes
>1000,>100M,Logistics provider,25–100,"Forklifts,Trucks,Vans,Delivery bikes",6–10,Preventive,2,1275,"Electrical issues,Mechanical failure,Battery/charging (for EVs)","ERP,None,WMS",Somewhat familiar,Other,Very likely,<10%,Regulatory compliance,>30%,"Cost–benefit analysis,Fuel efficiency analytics",Moderately important,In-house software,6–10%,None,"Customer satisfaction,Regulatory compliance,Cost reduction","Higher cost, maximum reliability","Repair costs,Emission metrics",Yes
501–1000,20M–100M,Other,25–100,"Delivery bikes,Electric vehicles (EVs)",2–5,Predictive,5,1426,Accidents,"None,WMS",Somewhat familiar,Other,Very likely,10–25%,Regulatory compliance,<10%,Maintenance scheduling,Very important,Manual spreadsheet,2–5%,Medium,"Sustainability,Customer satisfaction,Safety","Moderate cost, high reliability","Emission metrics,Downtime hours,Fuel efficiency",Yes
51–200,<1M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks,Delivery bikes,Vans",2–5,Reactive,5,1089,"Electrical issues,Battery/charging (for EVs)","ERP,WMS",Somewhat familiar,Complexity,Unlikely,26–50%,Competitive advantage,>30%,"Maintenance scheduling,Fuel efficiency analytics,Real-time health scores",Critical,Manual spreadsheet,>10%,Essential,"Regulatory compliance,Sustainability,Uptime/reliability","Moderate cost, high reliability",Fuel efficiency,Maybe
51–200,5M–20M,Retail/E-commerce,101–250,"Vans,Electric vehicles (EVs),Delivery bikes,Trucks",<2,Reactive,2,1778,Accidents,"TMS,None,ERP",Somewhat familiar,Not a priority,Very likely,26–50%,Uptime improvement,>30%,"Cost–benefit analysis,Fuel efficiency analytics",Moderately important,In-house software,6–10%,None,"Cost reduction,Uptime/reliability,Sustainability","Moderate cost, high reliability","Emission metrics,Fuel efficiency,Downtime hours,Delivery delays",Yes
51–200,20M–100M,Logistics provider,25–100,"Delivery bikes,Vans,Trucks",6–10,Preventive,4,1107,"Accidents,Mechanical failure,Electrical issues","ERP,TMS,WMS",Somewhat familiar,Lack of internal skills,Likely,10–25%,Uptime improvement,<10%,Parts availability,Critical,3rd party tool,6–10%,High,"Sustainability,Safety,Regulatory compliance","Moderate cost, high reliability",Downtime hours,Yes
51–200,1M–5M,Logistics provider,101–250,"Trucks,Electric vehicles (EVs)",6–10,Reactive,0,1092,Electrical issues,ERP,Somewhat familiar,Complexity,Very likely,<10%,Uptime improvement,10–20%,Real-time health scores,Very important,Manual spreadsheet,2–5%,Essential,"Safety,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Fuel efficiency,Repair costs",Maybe
201–500,5M–20M,Food & Beverage,25–100,"Forklifts,Vans",6–10,Reactive,2,884,Battery/charging (for EVs),TMS,Somewhat familiar,Data security concerns,Likely,<10%,Cost savings,21–30%,Cost–benefit analysis,Very important,Not tracked,2–5%,High,"Uptime/reliability,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Repair costs,Downtime hours,Emission metrics,Fuel efficiency",No
51–200,20M–100M,Logistics provider,<25,"Trucks,Vans,Delivery bikes,Forklifts",2–5,Predictive,0,1720,"Electrical issues,Battery/charging (for EVs),Tire issues",None,Very familiar,Not a priority,Very likely,26–50%,Uptime improvement,>30%,"Fuel efficiency analytics,Parts availability,Predictive alerts",Critical,3rd party tool,<2%,High,"Safety,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Delivery delays,Emission metrics",Maybe
51–200,<1M,Manufacturing,251–500,Delivery bikes,2–5,Preventive,6,846,"Battery/charging (for EVs),Mechanical failure,Electrical issues","None,WMS,TMS",Very familiar,Complexity,Very likely,10–25%,Competitive advantage,10–20%,"Predictive alerts,Parts availability,Fuel efficiency analytics",Slightly important,Not tracked,<2%,Essential,"Regulatory compliance,Customer satisfaction,Cost reduction","Lower cost, moderate reliability",Emission metrics,Maybe
201–500,5M–20M,Other,25–100,"Trucks,Delivery bikes,Electric vehicles (EVs)",2–5,Preventive,4,1827,"Battery/charging (for EVs),Tire issues,Accidents","WMS,None",Somewhat familiar,Data security concerns,Very unlikely,>50%,Competitive advantage,10–20%,"Predictive alerts,Fuel efficiency analytics",Critical,3rd party tool,<2%,High,"Cost reduction,Safety,Customer satisfaction","Moderate cost, high reliability","Repair costs,Fuel efficiency",No
<50,1M–5M,Retail/E-commerce,25–100,"Delivery bikes,Vans,Forklifts",2–5,Reactive,5,1282,"Accidents,Tire issues,Battery/charging (for EVs)",TMS,Somewhat familiar,Data security concerns,Neutral,<10%,Cost savings,21–30%,"Predictive alerts,Maintenance scheduling,Parts availability",Moderately important,3rd party tool,>10%,Medium,"Uptime/reliability,Regulatory compliance,Safety","Moderate cost, high reliability","Fuel efficiency,Downtime hours,Repair costs,Emission metrics",No
